Year,Male main jobs,Female main jobs,Total tourism part time main jobs
2004-05,63.70,143.30,207.00
2005-06,61.40,143.30,204.70
2006-07,68.00,149.60,217.50
2007-08,67.80,144.50,212.30
2008-09,70.40,152.20,222.60
2009-10,78.60,160.50,239.00
2010-11,78.50,154.90,233.40
2011-12,80.10,161.40,241.50
2012-13,84.70,172.40,257.10
2013-14,89.50,171.60,261.00
2014-15,94.30,175.40,269.70
2015-16,102.50,185.90,288.50
2016-17,104.00,193.50,297.50
2017-18,106.40,210.60,317.00
2018-19,115.10,208.50,323.60
2019-20,99.00,177.80,276.70
2020-21,78.00,131.50,209.50
2021-22,88.10,160.30,248.40
