Tourism part and full-time jobs created (per 1000),2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,,,,,,,,,,,,,12636.7,12918.8,13105,13529.9,13872.4,13898.3,14022.7,14497.9
Accommodation ,91.7,91.9,85.3,88.2,54.4,72.8,,,,,,,,,,,,,,,,,,,,
"Cafes, restaurants and takeaway food services ",193,212,216.3,187.5,155.9,176.7,,,,,,,,,,,,,,,,,,,,
"Clubs, pubs, taverns and bars ",48.9,53.5,52.8,43.2,33.5,37.9,,,,,,,,,,,,,,,,,,,,
Rail transport ,2,1.9,1.9,1.6,1.1,1.4,,,,,,,,,,,,,,,,,,,,
Road transport and transport equipment rental,6.8,6.9,7.4,5.7,3.3,4.2,,,,,,,,,,,,,,,,,,,,
"Air, water and other transport ",40.2,42.7,45,42.9,29.2,34,,,,,,,,,,,,,,,,,,,,
Travel agency and information centre services,33.2,35.4,35.3,28.7,21.5,30.7,,,,,,,,,,,,,,,,,,,,
Cultural services,9.4,9.4,10.7,9.4,6.4,8.4,,,,,,,,,,,,,,,,,,,,
Casinos and other gambling services ,4,4.3,4.1,3.4,1.7,2.2,,,,,,,,,,,,,,,,,,,,
Sports and recreation services ,27.5,28.1,28.5,25.4,18,26.9,,,,,,,,,,,,,,,,,,,,
Retail trade ,111.1,114.8,119.9,93.7,74.7,81.9,,,,,,,,,,,,,,,,,,,,
Education and training ,58.8,65.8,71,57.1,3.2,13.7,,,,,,,,,,,,,,,,,,,,
All other industries,22.9,22.8,22.7,17.1,9.7,10.7,,,,,,,,,,,,,,,,,,,,
Total tourism filled jobs,649.6,689.6,701.1,603.8,412.6,501.4,,,,,,,,,,,,,,,,,,,,
Total filled jobs (General),13105,13529.9,13872.4,13898.3,14022.7,14497.9,,,,,,,,,,,,,,,,,,,,
